comments,cleaned_comments,segmented_comments,filtered_comments
特朗普说自己的国家是控制疫情最好的国家。 刚开始我觉得好笑，顿了一下，我泪目了,特朗普说自己的国家是控制疫情最好的国家 刚开始我觉得好笑顿了一下我泪目了,特朗普 说 自己 的 国家 是 控制 疫情 最好 的 国家   刚 开始 我 觉得 好笑 顿 了 一下 我泪目 了,特朗普 说 国家 控制 疫情 国家 刚 好笑 顿 我泪目
人家讲真话的时候你们还笑话他[doge],人家讲真话的时候你们还笑话他doge,人家 讲 真话 的 时候 你们 还 笑话 他 doge,讲 真话 笑话 doge
建国说的可是“自己的”国家啊[大哭],建国说的可是自己的国家啊大哭,建国 说 的 可是 自己 的 国家 啊 大哭,建国 说 国家 大哭
哎，远方的游子啊[大哭][doge],哎远方的游子啊大哭doge,哎 远方 的 游子 啊 大哭 doge,远方 游子 大哭 doge
洋装虽然穿在身[滑稽],洋装虽然穿在身滑稽,洋装 虽然 穿 在 身 滑稽,洋装 穿 身 滑稽
美相缠身，心系祖国！,美相缠身心系祖国,美相 缠身 心系 祖国,美相 缠身 心系 祖国
事实上朝鲜也控制的很好[笑哭],事实上朝鲜也控制的很好笑哭,事实上 朝鲜 也 控制 的 很 好笑 哭,事实上 朝鲜 控制 好笑 哭
身在曹营心在汉[喜极而泣],身在曹营心在汉喜极而泣,身在曹营心在汉 喜极而泣,身在曹营心在汉 喜极而泣
这点儿小失败不算什么，看我建国同志4年后卷土重来[偷笑],这点儿小失败不算什么看我建国同志4年后卷土重来偷笑,这点儿 小 失败 不算什么 看 我 建国 同志 4 年 后 卷土重来 偷笑,这点儿 失败 不算什么 建国 同志 年 卷土重来 偷笑
回复 @真的很强 :我心依然是中国心[滑稽],回复 真的很强 我心依然是中国心滑稽,回复   真的 很强   我心 依然 是 中国 心 滑稽,回复 真的 很强 我心 依然 中国 心 滑稽
